City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,gerash,27.6652,54.1371,18.87,52,0,1.33,IR,1699572112
162,lorengau,-2.0226,147.2712,28.22,79,100,5.31,PG,1699572112
163,peniche,39.3558,-9.3811,16.07,68,97,4.99,PT,1699572113
164,queenstown,-31.8976,26.8753,11.73,95,1,0.88,ZA,1699572113
165,sao jose da coroa grande,-8.8978,-35.1478,25.16,78,3,3.55,BR,1699572113
166,charlestown,-32.95,151.6667,25.38,65,54,1.79,AU,1699572113
167,palmer,42.1584,-72.3287,5.36,82,80,0.96,US,1699572113
168,west island,-12.1568,96.8225,25.99,89,75,6.17,CC,1699572114
169,dondo,-19.6094,34.7431,25.73,85,16,2.32,MZ,1699571922
170,urucara,-2.5364,-57.76,29.42,48,10,1.13,BR,1699571883
171,isangel,-19.55,169.2667,23.68,67,89,7.21,VU,1699572114
172,port augusta,-32.5,137.7667,34.53,20,7,9.1,AU,1699572114
173,issa,53.8705,44.8578,3.97,96,100,8.28,RU,1699572115
174,mabaruma,8.2,-59.7833,25.01,91,83,1.38,GY,1699572115
175,gamay,12.3854,125.2979,27.38,86,30,1.8,PH,1699572115
176,kingston,17.997,-76.7936,29.53,79,20,5.14,JM,1699571839
177,paracale,14.2804,122.7881,26.86,87,31,3.57,PH,1699572115
178,curug,-6.2658,106.5564,29.43,79,20,2.57,ID,1699572115
179,orchard homes,46.8633,-114.0484,6.08,63,0,0.89,US,1699572116
180,miramichi,47.0043,-65.4654,1.83,98,100,0.88,CA,1699572116
181,uporovo,56.3109,66.2693,1.09,92,100,2.94,RU,1699572116
182,tchibanga,-2.85,11.0333,23.12,98,100,0.74,GA,1699572116
183,tralee,52.2704,-9.7026,9.78,86,65,12.06,IE,1699572117
184,yuzhno-kurilsk,44.0306,145.8556,12.43,88,95,11.54,RU,1699572117
185,kavaratti,10.5669,72.642,28.07,75,98,2.93,IN,1699572117
186,nishinoomote,30.7333,131.0,22.57,82,94,8.76,JP,1699572117
187,zaozersk,69.4005,32.4476,-5.51,90,98,6.61,RU,1699572118
188,khanty-mansiysk,61.0042,69.0019,-1.94,100,75,2.0,RU,1699572118
189,codrington,-38.2667,141.9667,22.49,41,33,2.68,AU,1699572081
190,hammerfest,70.6634,23.6821,0.25,93,100,7.72,NO,1699572118
191,la rinconada,37.4873,-5.9826,15.59,93,96,1.54,ES,1699572118
192,puerto santa,-8.9906,-78.6456,19.52,83,23,5.03,PE,1699572119
193,mbamba bay,-11.2833,34.7667,27.05,69,41,2.44,TZ,1699572119
194,ribeira brava,32.65,-17.0667,20.4,76,36,1.18,PT,1699572119
195,ust-nera,64.5667,143.2,-30.97,97,75,1.68,RU,1699571932
